Model,Company,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng service ceiling,Eng out service ceiling,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Takeoff ground run,Landing over 50ft,Landing ground roll,Gross weight lbs,Empty weight lbs,Length ft/in,Height ft/in,Wing span ft/in,Range N.M.
15 AC Sedan,Aeronca,Piston,145,104,91,46,36,13000,,450,,900,,1300,,2050,1180,25/3,3-Oct,37/5,370
11 CC Super Chief,Aeronca,Piston,85,89,83,44,15,12300,,600,,720,,800,,1350,820,20/7,9-Aug,36/1,190
7 CCM Champ,Aeronca,Piston,90,90,78,37,19,16000,,650,,475,,850,,1300,810,21/5,7-Aug,35/0,210
7 DC Champ,Aeronca,Piston,85,88,78,37,19,13000,,620,,500,,850,,1300,800,21/5,7-Aug,35/0,210
7 AC Champ,Aeronca,Piston,65,83,74,33,14,12500,,370,,632,,885,,1220,740,21/5,9-Aug,35/0,175
11 AC Chief,Aeronca,Piston,65,78,72,33,15,11000,,360,,583,,880,,1250,786,20/4,9-Aug,36/1,180
PA-60-700P Aerostar (preliminary),Aerostar Aircraft Corporation,Piston,350,264,230,80,165,25000,14500,1820,320,3080,1950,2100,1425,6315,4275,34/10,1-Dec,36/8,868
PA-602P Aerostar,Aerostar Aircraft Corporation,Piston,290,262,247,77,165,28000,12900,1755,302,2250,1800,2076,1217,6000,4125,34/9,1-Dec,36/7,1020
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Aerostar Aircraft Corporation,Piston,290,257,235,77,165,25000,8800,1460,240,2490,1900,2030,1230,6000,4056,34/10,1-Dec,36/8,1101
PA-601B turbochg Aerostar (prior'80=less perf),Aerostar Aircraft Corporation,Piston,290,257,237,77,165,30000,8800,1460,240,2490,1900,2030,1230,6000,3958,34/10,1-Dec,36/8,1174
"PA-601, 601A, turbochg Aerostar",Aerostar Aircraft Corporation,Piston,290,271,236,69,174,30100,10800,1700,370,2200,1800,1625,980,5700,3750,34/10,1-Dec,34/2,1174
"PA-600,600A,-Aerostar",Aerostar Aircraft Corporation,Piston,290,220,212,74,165,21200,6300,1800,360,1950,1550,1840,1040,5500,3737,34/10,1-Dec,34/2,1200
G164B Turbine (spec for 680 hp),Ag Cat Corp,Propjet,680,,113,,80,,,,,900,,,,5200,3150,33/1,1-Dec,42/5,
G164C-600 AG-CAT (design category) sprayer,Ag Cat Corp,Piston,600,104,91,60,80,,,,,2080,1080,1190,588,6300,3650,30/0,5-Nov,42/3,235
G164B-600 AG-CAT (design category) sprayer,Ag Cat Corp,Piston,600,,100,52,64,,,1360,,1050,430,1150,565,5200,3650,25/6,6-Nov,42/5,200
G164A-600 AG-CAT (design category),Ag Cat Corp,Piston,600,128,96,59,46,14500,,1600,,860,505,770,410,4500,3160,24/4,10-Oct,35/11,148
G164B-525 (design-sprayer) prior'78=25/11 length,Ag Cat Corp,Piston,525,128,91,52,46,,,1350,,,1000,540,1150,567,4500,3150,26/1,42/3,155
G164B-450 (hopper=325 gal),Ag Cat Corp,Piston,450,,100,,64,,,,,,1300,,,5200,3325,24/2,6-Nov,42/5,190
G164B-450 AG CAT (design category) sprayer,Ag Cat Corp,Piston,450,128,91,52,46,14500,,1060,,1090,585,1150,567,4500,3100,25/7,Nov-00,42/3,190
G164A-450 AG CAT (design category),Ag Cat Corp,Piston,450,128,91,58,46,14000,,990,,1145,630,750,390,4500,2870,24/4,Nov-00,35/11,190
G164A-300 AG CAT,Ag Cat Corp,Piston,300,128,74,54,46,11500,,700,,1200,750,1000,590,3750,2410,24/4,9-Oct,35/8,226
G164A-275 AG CAT,Ag Cat Corp,Piston,275,114,74,54,33,10250,,600,,1275,800,1000,590,3750,2400,24/4,9-Oct,35/8,117
G164A-245 AG CAT,Ag Cat Corp,Piston,245,114,70,54,33,8500,,496,,1300,825,1000,590,3750,2300,24/4,9-Oct,35/8,174
G164A-220 AG CAT,Ag Cat Corp,Piston,220,114,70,48,33,7000,,435,,1360,850,1000,590,3600,2200,24/4,9-Oct,35/8,190
A-2,Aircoupe-Alon,Piston,90,112,108,37,24,17300,,640,,1100,540,1200,350,1450,930,20/2,1-May,30/0,410
F-1,Aircoupe-Alon,Piston,90,113,104,50,24,16000,,600,,1800,1260,1600,600,1400,900,20/1,3-Jun,30/0,400
415-G,Aircoupe-Alon,Piston,85,99,96,50,24,13500,,550,,2100,1260,1850,750,1400,833,20/1,3-Jun,30/0,360
CH-601-XL/i/650-LS/i,Aircraft Manufacturing & Design LLC,Piston,100,120,113,38,30,12000,,1000,,,,,,1320,770,20/0,6-Jun,27/0,715
AT-802A,"Air Tractor, Inc.",Propjet,1295,,166,54,254,,,780,,,2000,,,16000,6751,,,59.2,610
AT-602,"Air Tractor, Inc.",Propjet,1050,158,126,52,216,8000,,650,,,1830,,,12500,5829,33/6,2-Dec,56,600
AT-503A,"Air Tractor, Inc.",Propjet,750,144,126,60,170,,,760,,,1170,,,9200,4488,,,50/0,547
AT-502,"Air Tractor, Inc.",Propjet,680,144,126,60,170,,,760,,,1170,,,9200,4123,,,50/0,547
AT-402,"Air Tractor, Inc.",Propjet,680,122,105,46,170,,,1000,,,810,,,7860,3739,,,49/0,574
AT-401,"Air Tractor, Inc.",Piston,600,136,105,53,126,,,520,,,1318,,,7860,4135,,,49/1,547
AT-400,"Air Tractor, Inc.",Propjet,680,200,185,55,126,,,1500,,,1000,,,7800,3550,,,45/1,
